"phase","table","row_count","size_mb","partition_column","partition_type","interval","rationale","dataareaid_distinct"
"3","inventtrans","495226162","373685.94","datephysical","LIST+RANGE","LIST(DataAreaId) + monthly","495M rows / 373 GB; datephysical 1900-2026 (default partition for migrated 1900 rows + monthly post-2019); composite LIST(dataareaid) → RANGE(date)","1"
"3","inventsum","399078046","329429.82","_HASH_RECID","HASH","16 partitions","399M rows / 329 GB; inventory snapshot, no business date; HASH for parallel reads","1"
"3","inventtransorigin","238538449","132268.30","_HASH_RECID","HASH","8 partitions","238M rows / 132 GB; both audit columns 1900-01-01; _fivetran_synced only 6 weeks; HASH by RecId","1"
"3","vendsettlement","227009580","125283.79","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","227M rows / 125 GB; transdate 2019-2026; 16 DataAreaIds - composite partition for legal-entity isolation","16"
"3","vendtrans","179939436","169215.48","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","179M rows / 169 GB; transdate 2019-2026; 8 DataAreaIds","8"
"3","custtrans","134756602","126006.80","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","134M rows / 126 GB; modifieddatetime 2019-02+ verified clean (0 x 1900 rows); 3 kept DataAreaIds (40,20,30); LIST(dataareaid) → RANGE(modifieddatetime) monthly","8"
"3","taxtrans","114310054","110083.88","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","114M rows / 110 GB; transdate 2019-2026; 5 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","5"
"3","custinvoicetrans","103941126","138014.41","invoicedate","LIST+RANGE","LIST(DataAreaId) + monthly","103M rows / 138 GB; invoicedate 2019-2026; 5 DataAreaIds - invoice queries always filter both","5"
"3","custinvoicejour","90748712","125455.43","invoicedate","LIST+RANGE","LIST(DataAreaId) + monthly","90M rows / 125 GB; invoicedate 2019-2026; 6 DataAreaIds; primary table for Invoice API","6"
"3","custsettlement","84237485","84485.11","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","84M rows / 84 GB; transdate 2019-2026; 7 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","7"
"3","custconfirmjour","57136818","26550.23","confirmdate","LIST+RANGE","LIST(DataAreaId) + monthly","57M rows / 26 GB; confirmdate 2023-2026 (D365 cutover); single DataAreaId; composite LIST(dataareaid) → RANGE(date)","1"
"3","taxjournaltrans","52095178","39325.65","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","52M rows / 39 GB; transdate 2019-2026; 4 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","4"
"3","vendinvoicejour","51546512","62295.68","invoicedate","LIST+RANGE","LIST(DataAreaId) + monthly","51M rows / 62 GB; 17 DataAreaIds - heaviest multi-entity table","17"
"3","inventtransoriginsalesline","36614473","16186.60","_HASH_RECID","HASH","8 partitions","36M rows; audit cols 1900-01-01; HASH by RecId","1"
"3","custinvoicesaleslink","30252727","23917.43","invoicedate","LIST+RANGE","LIST(DataAreaId) + quarterly","30M rows / 23 GB; invoicedate 2019-2026; 5 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","5"
"3","markuptrans","26929460","28769.93","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","26M rows / 28 GB; transdate mostly post-2019 (some 1900 migrated rows -> default partition); composite LIST(dataareaid) → RANGE(date)","1"
"3","reqitemtable","24638073","25787.24","_HASH_RECID","HASH","4 partitions","24M rows; audit cols 1900-01-01; no business date","1"
"3","purchlinehistory","22494194","24801.41","deliverydate","LIST+RANGE","LIST(DataAreaId) + quarterly","22M rows / 24 GB; deliverydate spans 1900-2029 (planned future + migrated past) - quarterly with default partition; composite LIST(dataareaid) → RANGE(date)","1"
"3","purchline","20041706","34061.03","deliverydate","LIST+RANGE","LIST(DataAreaId) + quarterly","20M rows / 34 GB; deliverydate 1900-2029; PO line queries filter delivery window","1"
"3","vendpackingsliptrans","18454338","16352.75","accountingdate","LIST+RANGE","LIST(DataAreaId) + quarterly","18M rows / 16 GB; accountingdate 2023-2026; composite LIST(dataareaid) → RANGE(date)","2"
"3","vendinvoicetrans","18431214","21831.23","invoicedate","LIST+RANGE","LIST(DataAreaId) + quarterly","18M rows / 21 GB; invoicedate 2023-2026; 2 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","2"
"3","inventtransferline","12815994","15238.14","createddatetime","LIST+RANGE","LIST(DataAreaId) + quarterly","12M rows / 15 GB; createddatetime 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"3","usvsspprogramcustomer","9382436","5694.10","_HASH_RECID","HASH","4 partitions","9M rows; both audit cols 1900-01-01","1"
"3","usvsspprogramproducts","9235126","5549.79","_HASH_RECID","HASH","4 partitions","9M rows; both audit cols 1900-01-01","1"
"3","inventtransfertable","8951000","6883.45","createddatetime","LIST+RANGE","LIST(DataAreaId) + quarterly","8.9M rows / 6.8 GB; createddatetime 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"3","inventvaluereporttmpline","8706506","5738.52","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","8.7M rows; transdate 2023-2026; temp-line table - consider whether to partition at all (TBD with API team); composite LIST(dataareaid) → RANGE(date)","2"
"3","custinteresttrans","6535250","6948.60","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","6.5M rows / 6.9 GB; transdate 2019-2026; 3 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","3"
"3","inventjournaltrans","6220930","4954.77","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","6.2M rows; transdate 2023-2026; composite LIST(dataareaid) → RANGE(date)","2"
"3","vendinvoiceinfoline","5529502","6210.31","_HASH_RECID","HASH","4 partitions","5.5M rows; audit cols 1900-01-01","2"
"3","custtransopen","2944118","3468.21","","NONE","","small table (2944118 rows / 3468.21 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vendpackingslipjour","2590442","1429.29","","NONE","","small table (2590442 rows / 1429.29 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","inventjournaltable","2075652","1043.69","","NONE","","small table (2075652 rows / 1043.69 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vendpackingslipversion","1295336","1014.21","","NONE","","small table (1295336 rows / 1014.21 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vendtransopen","1139225","1617.13","","NONE","","small table (1139225 rows / 1617.13 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vendinvoiceinfotable","787332","955.44","","NONE","","small table (787332 rows / 955.44 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","purchtablehistory","746848","770.56","","NONE","","small table (746848 rows / 770.56 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","custinterestjour","595348","294.40","","NONE","","small table (595348 rows / 294.40 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","purchtable","579200","856.86","","NONE","","small table (579200 rows / 856.86 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","purchtableversion","514190","262.78","","NONE","","small table (514190 rows / 262.78 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","usvprogramcustprodexclusiontable","25116","7.09","","NONE","","small table (25116 rows / 7.09 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","intercompanypurchsalesreference","6010","3.56","","NONE","","small table (6010 rows / 3.56 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","taxtable","1516","1.07","","NONE","","small table (1516 rows / 1.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","paymterm","1004","0.63","","NONE","","small table (1004 rows / 0.63 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","agreementheader","289","0.34","","NONE","","small table (289 rows / 0.34 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","usvprogramreasoncode","287","0.26","","NONE","","small table (287 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","paymday","255","0.27","","NONE","","small table (255 rows / 0.27 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","taxonitem","242","0.26","","NONE","","small table (242 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","taxdata","230","0.26","","NONE","","small table (230 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","purchparameters","74","0.21","","NONE","","small table (74 rows / 0.21 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","markuptable","48","0.20","","NONE","","small table (48 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","idttaxlogparameters","24","0.07","","NONE","","small table (24 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vprogramswithnoitems","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vprogramtableswithzerorecords","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","usvprogramproductstableentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","usvprogramcustprodexclusiontableentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","taxgstreliefgroupheading_my","0","0.00","","NONE","","small table (0 rows / 0.00 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","vduplicateprograms","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","paymenttermentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"3","usvprogramtableentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","generaljournalaccountentry","475022861","431676.92","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","475M rows / 431 GB; modifieddatetime 2020-10 to 2026-06; biggest GL table; composite LIST(dataareaid) → RANGE(date)","1"
"4","generaljournalentry","153010212","109012.57","accountingdate","LIST+RANGE","LIST(DataAreaId) + monthly","153M rows / 109 GB; accountingdate 2016-2026 - 10-year span; finance API filters by date AND legal entity","1"
"4","salesline","75651260","187890.47","shippingdaterequested","LIST+RANGE","LIST(DataAreaId) + monthly","75M rows / 187 GB; shippingdaterequested 2019-2026 clean (use this over shippingdateconfirmed which has 1900-01-01 entries); 3 DataAreaIds","3"
"4","salestable","59872716","110389.58","deliverydate","LIST+RANGE","LIST(DataAreaId) + monthly","59M rows / 110 GB; deliverydate 2019-2026; sales order header - partner of salesline","3"
"4","usvsalescommissionresptable","48530978","28231.41","invoicedate","LIST+RANGE","LIST(DataAreaId) + monthly","48M rows / 28 GB; invoicedate 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"4","subledgerjournalaccountentrydistribution","42583392","19821.84","createddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","42M rows / 19 GB; createddatetime 2021-2026; composite LIST(dataareaid) → RANGE(date)","1"
"4","ledgertransvoucherlink","37065117","16616.34","transdate","LIST+RANGE","LIST(DataAreaId) + quarterly","37M rows / 16 GB; transdate 2017-2026; 12 DataAreaIds","12"
"4","whssalesline","34782528","20411.25","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","34M rows / 20 GB; modifieddatetime 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"4","usvcuststatement","31938815","19514.40","transdate","LIST+RANGE","LIST(DataAreaId) + monthly","31M rows / 19 GB; transdate 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"4","tmssalestable","29892286","16570.37","modifieddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","29M rows / 16 GB; modifieddatetime 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"4","ledgerjournaltable","27696168","24628.89","createddatetime","LIST+RANGE","LIST(DataAreaId) + quarterly","27M rows / 24 GB; createddatetime mixed (some 1900) but spans to 2026; 9 DataAreaIds; composite LIST(dataareaid) → RANGE(date)","9"
"4","usvcustinvoicejourstatement","19966754","12568.24","invoicedate","LIST+RANGE","LIST(DataAreaId) + monthly","19M rows / 12 GB; invoicedate 2023-2026; composite LIST(dataareaid) → RANGE(date)","1"
"4","ledgerentryjournal","14876537","5881.91","_HASH_RECID","HASH","8 partitions","14M rows; all audit columns 1900-01-01; HASH by RecId","1"
"4","spectrans","2827763","2099.05","","NONE","","small table (2827763 rows / 2099.05 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","salesjournalautosummary","790800","398.54","","NONE","","small table (790800 rows / 398.54 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","usvsalestrackingnumbers","662902","498.43","","NONE","","small table (662902 rows / 498.43 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","casedetailbase","46418","28.03","","NONE","","small table (46418 rows / 28.03 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","casedetail","23209","10.97","","NONE","","small table (23209 rows / 10.97 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","dimensionfinancialtag","9450","4.36","","NONE","","small table (9450 rows / 4.36 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","usvcustavailcredit","8674","7.43","","NONE","","small table (8674 rows / 7.43 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","ledgerfiscalcalendarperiod","5376","1.70","","NONE","","small table (5376 rows / 1.70 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","exchangerate","2647","1.21","","NONE","","small table (2647 rows / 1.21 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","mainaccount","798","0.70","","NONE","","small table (798 rows / 0.70 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","ledgerjournalname","509","0.52","","NONE","","small table (509 rows / 0.52 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","bankaccounttable","326","0.32","","NONE","","small table (326 rows / 0.32 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","salesagreementheader","289","0.26","","NONE","","small table (289 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","fiscalcalendarperiod","224","0.26","","NONE","","small table (224 rows / 0.26 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","usvgeneralledgerhierarchy","130","0.20","","NONE","","small table (130 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","mainaccountcategory","107","0.20","","NONE","","small table (107 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","bankgroup","52","0.20","","NONE","","small table (52 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","ledger","37","0.20","","NONE","","small table (37 rows / 0.20 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","casecategoryhierarchydetail","18","0.07","","NONE","","small table (18 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","fiscalcalendaryear","16","0.07","","NONE","","small table (16 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","usvfndcategory","12","0.07","","NONE","","small table (12 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","exchangeratecurrencypair","10","0.07","","NONE","","small table (10 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","exchangeratetype","6","0.07","","NONE","","small table (6 rows / 0.07 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","financialdimensionvalueentityfinancialtagview","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","v_dirpartytable","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","esker_usvopenar","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","usvopenar","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
"4","usvpnccusttransdataentity","0","0","","NONE","","small table (0 rows / 0 MB) - no partitioning needed; index on DataAreaId + business key",""
